Frequency,key size,data self life,migration,vendor supply time,Algo,App_type,Application,Data Sensisitivity,arch flexibility,data trans(algo),is third party quantum safe,third party used,vendor pqc compliant
941915,0,9,3,9,DES,MIX,C,MEDIUM,YES,RSA,YES,YES,NO
113714,175,10,1,9,RSA,web,A,LOW,,RSA,,NO,NO
4324,2048,8,2,1,RSA,web,D,HIGH,YES,RSA,,NO,NO
4364,0,9,2,12,ECDHE,MIX,B,MEDIUM,NO,RSA,YES,YES,
98895,0,10,2,6,DES,web,B,LOW,YES,RSA,,YES,YES
7488,558,9,3,12,RSA,STANDALONE,C,LOW,NO,RSA,NO,YES,
605256,1380,8,2,12,RSA,STANDALONE,C,MEDIUM,YES,RSA,NO,YES,
7603,2048,9,2,9,RSA,web,C,LOW,,RSA,,NO,NO
221669,0,9,2,6,ECDHE,web,C,LOW,YES,RSA,,YES,NO
111590,2048,9,2,6,RSA,web,D,HIGH,,RSA,,YES,YES
890487,69,7,3,9,AES,STANDALONE,C,MEDIUM,,RSA,YES,YES,NO
487450,256,8,2,9,RSA,web,C,MEDIUM,,RSA,,NO,
2062536,2048,9,3,12,RSA,STANDALONE,C,MEDIUM,YES,RSA,YES,YES,
3583,102,8,2,6,ECDHE,MIX,C,HIGH,NO,RSA,NO,NO,NO
4392,251,9,1,1,AES,web,D,HIGH,YES,RSA,,NO,YES
2952,73,9,2,6,DES,MIX,A,HIGH,NO,RSA,,NO,NO
8147,106,9,2,6,AES,MIX,B,LOW,YES,RSA,,YES,
1223,1788,8,1,1,AES,web,D,HIGH,,RSA,,NO,NO
98641,2118,8,2,6,RSA,web,A,HIGH,YES,RSA,,NO,YES
92824,2048,9,1,9,RSA,web,A,HIGH,YES,RSA,,NO,
34728,1024,8,2,9,RSA,web,C,HIGH,NO,RSA,,YES,NO
2956,0,8,2,3,ECDHE,web,D,LOW,NO,RSA,,NO,NO
9240,0,9,2,6,ECDHE,MIX,B,MEDIUM,NO,RSA,NO,YES,NO
99638,0,8,2,6,ECDHE,web,B,HIGH,NO,RSA,NO,NO,NO
98713,1024,9,2,9,RSA,web,C,HIGH,YES,RSA,,YES,YES
4244,256,9,1,1,AES,web,A,LOW,,RSA,,NO,NO
912083,6,8,2,11,ECDHE,STANDALONE,D,LOW,YES,RSA,YES,YES,NO
101038,1024,10,1,9,RSA,web,D,LOW,YES,RSA,NO,NO,YES
108733,256,8,2,9,ECDHE,web,A,LOW,YES,RSA,YES,YES,NO
12,256,10,1,1,AES,MIX,B,HIGH,NO,RSA,,NO,YES
99666,4096,9,1,12,RSA,web,A,HIGH,YES,RSA,,NO,YES
10000000,4096,7,3,9,RSA,STANDALONE,C,MEDIUM,YES,RSA,,YES,
9944079,0,7,3,9,ECDHE,STANDALONE,C,MEDIUM,YES,RSA,YES,YES,
893664,0,10,2,12,RSA,STANDALONE,A,HIGH,YES,RSA,NO,YES,
99456,256,8,3,12,RSA,STANDALONE,C,MEDIUM,YES,RSA,YES,YES,
54253,0,10,2,9,DES,MIX,B,LOW,YES,RSA,,NO,YES
60681,77,10,2,12,ECDHE,MIX,B,MEDIUM,YES,RSA,NO,YES,NO
98788,895,9,1,9,ECDHE,web,C,LOW,YES,RSA,,NO,YES
66746,676,8,2,9,RSA,MIX,A,MEDIUM,NO,RSA,YES,YES,
108118,256,8,2,7,DES,MIX,B,LOW,NO,RSA,,NO,NO
99334,0,9,2,12,ECDHE,MIX,C,MEDIUM,YES,RSA,YES,YES,
107866,1990,7,3,1,AES,web,D,HIGH,,RSA,,YES,NO
9932635,0,7,3,3,ECDHE,MIX,D,HIGH,,RSA,YES,NO,
19565,986,10,1,6,RSA,web,A,LOW,NO,RSA,,NO,YES
486,2048,10,2,1,AES,web,A,HIGH,YES,RSA,,NO,NO
121870,121,8,2,1,AES,web,A,HIGH,YES,RSA,NO,NO,YES
99550,245,8,2,1,RSA,web,D,HIGH,,RSA,,NO,NO
111965,0,10,2,12,ECDHE,STANDALONE,A,LOW,YES,RSA,NO,YES,NO
878157,535,9,2,9,RSA,STANDALONE,C,LOW,YES,RSA,,NO,YES
9987678,249,10,1,6,ECDHE,web,A,HIGH,NO,RSA,,NO,YES
108711,217,10,2,11,RSA,STANDALONE,B,LOW,YES,RSA,NO,YES,YES
6462895,0,7,3,9,ECDHE,STANDALONE,C,MEDIUM,,RSA,YES,YES,NO
99840,0,7,3,11,DES,STANDALONE,C,MEDIUM,NO,RSA,NO,YES,
99234,227,8,1,1,ECDHE,web,A,HIGH,,RSA,,NO,YES
1752,2048,10,2,12,RSA,MIX,B,LOW,YES,RSA,,YES,
123457,0,9,2,3,AES,MIX,A,HIGH,NO,RSA,,YES,NO
91740,234,10,3,6,ECDHE,web,B,LOW,NO,RSA,,YES,YES
70971,2048,10,1,1,RSA,web,A,HIGH,YES,RSA,,NO,YES
9064,0,9,2,8,ECDHE,MIX,B,HIGH,YES,RSA,,YES,NO
98844,949,9,1,6,RSA,web,A,HIGH,NO,RSA,,NO,YES
123478,170,10,2,6,RSA,web,A,HIGH,NO,RSA,,NO,YES
31313,1024,9,2,12,ECDHE,MIX,B,MEDIUM,YES,RSA,YES,YES,
1207,2048,9,1,6,RSA,web,A,LOW,YES,RSA,,NO,NO
98437,1024,10,2,6,DES,web,A,HIGH,YES,RSA,,NO,YES
56146,1119,7,2,1,AES,web,D,HIGH,YES,RSA,,NO,NO
202668,0,10,2,12,ECDHE,MIX,B,MEDIUM,NO,RSA,NO,YES,NO
52025,162,9,3,9,ECDHE,STANDALONE,A,HIGH,NO,RSA,NO,YES,NO
4220,246,10,1,2,RSA,web,A,HIGH,NO,RSA,,NO,YES
208134,287,8,2,9,ECDHE,web,B,HIGH,YES,RSA,NO,YES,NO
89008,0,10,3,9,ECDHE,MIX,B,LOW,YES,RSA,NO,YES,
4415,0,8,2,1,AES,web,D,HIGH,NO,RSA,,NO,NO
108201,104,7,3,9,ECDHE,MIX,D,MEDIUM,,RSA,YES,YES,
9901441,1024,7,3,8,ECDHE,STANDALONE,C,MEDIUM,YES,RSA,,YES,
185121,126,8,2,12,ECDHE,STANDALONE,B,MEDIUM,YES,RSA,YES,YES,
94002,0,9,1,1,AES,web,B,HIGH,NO,RSA,,NO,NO
1242,256,8,2,1,AES,web,B,HIGH,,RSA,NO,NO,NO
962884,256,8,1,8,AES,web,A,HIGH,YES,RSA,,NO,
90988,2048,9,1,1,RSA,web,D,HIGH,,RSA,,NO,YES
2766021,0,7,2,12,ECDHE,STANDALONE,C,MEDIUM,NO,RSA,NO,YES,
123457,1024,8,2,1,AES,web,D,HIGH,,RSA,,NO,YES
98824,1024,10,1,9,RSA,web,A,HIGH,YES,RSA,,NO,YES
3363,267,9,1,9,ECDHE,web,A,HIGH,NO,RSA,,NO,NO
4547,0,10,1,1,ECDHE,web,A,HIGH,,RSA,,NO,NO
116567,0,8,1,1,ECDHE,web,D,HIGH,,RSA,,NO,YES
119485,0,8,2,6,ECDHE,web,D,HIGH,NO,RSA,,NO,NO
98534,256,8,1,11,ECDHE,MIX,A,MEDIUM,NO,RSA,YES,NO,
442599,1174,8,2,10,ECDHE,MIX,C,HIGH,YES,RSA,,YES,
2030,221,9,1,6,AES,MIX,A,LOW,NO,RSA,,YES,YES
99194,225,9,2,6,ECDHE,MIX,A,LOW,YES,RSA,,NO,NO
7284,0,7,2,1,AES,STANDALONE,B,HIGH,,RSA,NO,NO,NO
895701,0,8,2,9,ECDHE,STANDALONE,B,MEDIUM,YES,RSA,YES,YES,NO
7570,256,10,2,6,DES,web,B,HIGH,YES,RSA,,NO,NO
123478,0,8,2,12,ECDHE,STANDALONE,B,MEDIUM,NO,RSA,YES,YES,
3326,0,7,3,12,ECDHE,MIX,C,MEDIUM,NO,RSA,YES,YES,
10000000,1024,7,2,12,RSA,STANDALONE,C,MEDIUM,YES,RSA,YES,YES,
9999274,2048,7,3,12,RSA,STANDALONE,C,MEDIUM,YES,RSA,YES,YES,
1787,0,8,2,12,ECDHE,MIX,C,LOW,NO,RSA,NO,YES,NO
71336,0,8,2,12,ECDHE,MIX,C,LOW,NO,RSA,NO,YES,NO
3200,256,9,1,9,AES,web,A,LOW,NO,RSA,NO,YES,YES
60148,777,8,1,9,ECDHE,MIX,D,MEDIUM,NO,RSA,NO,NO,NO
19604,1024,9,3,9,RSA,web,C,HIGH,YES,RSA,,YES,YES
5205203,1024,8,3,1,RSA,STANDALONE,C,MEDIUM,,RSA,,YES,NO
65105,1024,9,2,6,ECDHE,web,A,HIGH,YES,RSA,,NO,YES
7992098,52,7,3,7,RSA,STANDALONE,C,MEDIUM,,RSA,,YES,
936155,0,8,3,6,ECDHE,STANDALONE,B,MEDIUM,YES,RSA,YES,YES,NO
99542,0,10,3,1,ECDHE,MIX,B,HIGH,YES,RSA,,YES,NO
6093,2048,10,2,12,RSA,STANDALONE,C,HIGH,YES,RSA,NO,YES,
3051854,0,7,3,6,ECDHE,STANDALONE,D,LOW,,RSA,YES,YES,NO
9927386,2048,8,2,8,RSA,web,C,HIGH,YES,RSA,YES,YES,NO
99351,0,10,2,11,ECDHE,web,B,MEDIUM,YES,RSA,NO,YES,
110236,1024,10,2,6,ECDHE,web,D,HIGH,,RSA,NO,YES,NO
101256,0,8,2,1,ECDHE,web,D,HIGH,,RSA,,YES,NO
87316,0,8,2,9,ECDHE,MIX,B,MEDIUM,,RSA,NO,YES,NO
12,2737,9,1,6,RSA,web,B,HIGH,NO,RSA,,NO,YES
732696,1089,9,2,6,RSA,web,C,HIGH,YES,RSA,,YES,NO
9941574,1024,9,2,11,ECDHE,web,C,MEDIUM,YES,RSA,,YES,NO
5267,2048,9,2,10,RSA,MIX,A,HIGH,NO,RSA,,NO,
123462,0,8,2,12,RSA,MIX,C,MEDIUM,YES,RSA,YES,YES,YES
3277,114,8,2,3,RSA,MIX,B,HIGH,NO,RSA,,NO,NO
123471,0,9,2,12,ECDHE,web,B,MEDIUM,YES,RSA,YES,YES,NO
10000000,1154,7,3,6,RSA,STANDALONE,D,MEDIUM,,RSA,YES,NO,
4373,0,9,3,12,RSA,STANDALONE,B,MEDIUM,YES,RSA,NO,YES,
10000000,0,8,2,6,RSA,MIX,C,HIGH,YES,RSA,NO,YES,NO
4081,256,9,2,12,RSA,MIX,B,LOW,YES,RSA,YES,YES,NO
105129,2048,9,1,4,RSA,web,A,MEDIUM,NO,RSA,,NO,YES
3136957,256,10,2,11,RSA,web,C,MEDIUM,YES,RSA,YES,NO,YES
121298,0,9,2,6,ECDHE,web,A,HIGH,NO,RSA,YES,NO,NO
42047,160,8,2,9,ECDHE,MIX,C,MEDIUM,NO,RSA,YES,YES,NO
1172,2048,10,2,9,RSA,STANDALONE,B,LOW,YES,RSA,,NO,YES
1335,221,9,1,1,DES,MIX,D,HIGH,NO,RSA,,NO,NO
9964472,0,8,2,6,RSA,STANDALONE,C,HIGH,YES,RSA,YES,NO,NO
3343,0,7,2,9,AES,MIX,C,MEDIUM,,RSA,,YES,NO
94243,2048,9,2,12,RSA,MIX,C,LOW,YES,RSA,NO,YES,
1723,0,9,1,1,ECDHE,web,A,LOW,YES,RSA,,NO,NO
2766,1024,7,2,12,ECDHE,STANDALONE,C,MEDIUM,NO,RSA,NO,NO,
107088,1272,8,2,12,RSA,STANDALONE,C,MEDIUM,YES,RSA,YES,YES,
12,900,10,1,11,DES,web,A,LOW,NO,RSA,,YES,YES
4457,183,8,2,12,AES,MIX,B,LOW,NO,RSA,,NO,YES
98871,4096,8,1,9,RSA,web,A,HIGH,YES,RSA,,NO,YES
156,256,10,1,12,ECDHE,MIX,A,LOW,YES,RSA,NO,YES,NO
216,256,9,3,9,RSA,MIX,B,LOW,NO,RSA,YES,YES,NO
99561,3536,8,2,9,RSA,web,A,MEDIUM,YES,RSA,,YES,NO
9992981,0,8,2,9,RSA,STANDALONE,C,HIGH,YES,RSA,YES,YES,
112530,2048,8,2,6,AES,web,A,HIGH,NO,RSA,,NO,NO
67628,153,8,2,6,AES,web,B,HIGH,,RSA,,YES,NO
1598,249,10,1,8,AES,web,B,HIGH,NO,RSA,NO,YES,NO
9997544,1165,8,3,6,RSA,web,D,HIGH,,RSA,YES,NO,NO
436065,0,7,2,6,ECDHE,STANDALONE,C,HIGH,,RSA,,YES,NO
799268,1024,9,2,9,RSA,STANDALONE,B,HIGH,NO,RSA,YES,YES,
4924,256,10,1,6,RSA,MIX,A,HIGH,NO,RSA,,NO,YES
42427,0,8,2,8,RSA,MIX,B,LOW,,RSA,NO,YES,
5851951,256,9,2,6,RSA,MIX,A,HIGH,YES,RSA,,NO,YES
15800,2048,9,3,9,RSA,MIX,B,LOW,,RSA,,YES,
99033,1024,9,1,9,RSA,web,A,HIGH,YES,RSA,,NO,YES
99719,625,10,1,9,AES,web,A,HIGH,YES,RSA,,YES,YES
91578,0,8,2,6,ECDHE,MIX,B,HIGH,,RSA,NO,NO,NO
847,240,10,2,9,RSA,MIX,D,LOW,NO,RSA,NO,YES,NO
99477,915,8,2,9,RSA,STANDALONE,B,HIGH,YES,RSA,NO,YES,NO
397370,0,8,3,6,ECDHE,STANDALONE,D,MEDIUM,NO,RSA,YES,YES,NO
2457638,0,10,1,12,ECDHE,STANDALONE,C,LOW,YES,RSA,NO,YES,YES
324505,0,9,2,1,ECDHE,web,D,LOW,YES,RSA,NO,NO,NO
4693,1024,7,2,1,AES,web,D,HIGH,,RSA,,NO,NO
4875356,2048,8,3,6,RSA,STANDALONE,C,MEDIUM,,RSA,YES,YES,
115674,630,8,3,1,RSA,web,C,MEDIUM,,RSA,,NO,NO
9900342,0,9,3,12,RSA,STANDALONE,C,MEDIUM,YES,RSA,,YES,
346,1024,9,1,9,ECDHE,MIX,A,LOW,NO,RSA,NO,NO,NO
2958,256,10,1,8,DES,web,A,LOW,YES,RSA,,YES,YES
102394,907,8,1,6,AES,web,D,HIGH,YES,RSA,,NO,
371,2048,9,1,6,RSA,MIX,A,HIGH,YES,RSA,,NO,YES
123471,25,8,3,12,RSA,STANDALONE,C,MEDIUM,NO,RSA,YES,NO,NO
2547,1741,10,1,6,RSA,web,A,HIGH,NO,RSA,,NO,YES
143,1497,9,2,2,AES,web,B,HIGH,,RSA,NO,NO,YES
10000000,1766,8,3,11,RSA,STANDALONE,C,MEDIUM,YES,RSA,,YES,
5268,0,9,3,9,ECDHE,STANDALONE,B,MEDIUM,YES,RSA,,YES,NO
47508,1024,9,1,6,RSA,web,A,HIGH,YES,RSA,,NO,YES
2782,0,8,1,9,AES,MIX,B,LOW,NO,RSA,NO,YES,NO
913352,0,9,2,3,AES,web,B,HIGH,NO,RSA,,YES,
56474,2048,8,1,1,RSA,web,D,HIGH,,RSA,,YES,NO
99541,2048,7,2,6,RSA,web,D,HIGH,,RSA,,NO,NO
99798,2048,8,2,1,AES,web,A,HIGH,,RSA,,NO,NO
27856,0,10,2,12,ECDHE,MIX,B,LOW,YES,RSA,NO,YES,NO
3974,0,8,2,12,AES,MIX,B,MEDIUM,NO,RSA,NO,YES,NO
1854,4094,9,1,1,RSA,web,A,HIGH,YES,RSA,,NO,YES
46565,0,9,2,12,ECDHE,web,B,LOW,YES,RSA,NO,YES,YES
94057,2048,7,2,7,RSA,web,D,HIGH,YES,RSA,,NO,NO
436,256,9,2,9,RSA,MIX,B,LOW,YES,RSA,NO,YES,
1542,942,9,2,7,DES,web,B,LOW,NO,RSA,NO,NO,NO
1826,2048,10,2,3,AES,web,D,LOW,YES,RSA,,NO,YES
10000000,256,8,2,6,RSA,web,D,HIGH,,RSA,,NO,
123474,4096,9,2,9,RSA,MIX,C,HIGH,YES,RSA,NO,NO,YES
99400,2048,10,1,1,RSA,web,A,HIGH,YES,RSA,,NO,YES
9910710,214,8,2,9,RSA,STANDALONE,C,HIGH,,RSA,,YES,
123459,0,8,1,6,ECDHE,web,A,HIGH,YES,RSA,,NO,NO
5840,0,9,2,6,AES,web,B,HIGH,,RSA,NO,YES,NO
2493,2048,8,1,1,RSA,web,D,HIGH,,RSA,,NO,NO
74326,1024,9,2,6,RSA,web,A,HIGH,YES,RSA,,NO,NO
102048,89,8,2,9,ECDHE,STANDALONE,C,HIGH,NO,RSA,YES,YES,
89763,1484,9,1,1,AES,web,A,HIGH,NO,RSA,,NO,YES
10000000,12,8,2,9,ECDHE,web,C,MEDIUM,YES,RSA,NO,YES,YES
2579,256,9,2,3,AES,MIX,B,HIGH,NO,RSA,,YES,NO
123463,2595,8,3,12,RSA,STANDALONE,C,MEDIUM,YES,RSA,YES,YES,
980465,212,9,2,11,ECDHE,STANDALONE,C,HIGH,YES,RSA,YES,YES,
92384,247,8,3,9,RSA,MIX,B,MEDIUM,,RSA,,YES,NO
4229,2048,10,2,9,RSA,web,B,HIGH,YES,RSA,,YES,YES
9879446,0,7,2,12,ECDHE,STANDALONE,C,MEDIUM,NO,RSA,YES,NO,
26890,0,8,1,1,AES,web,A,HIGH,,RSA,NO,NO,NO
2092,256,9,2,9,DES,MIX,B,HIGH,NO,RSA,NO,YES,YES
99781,0,9,3,9,ECDHE,STANDALONE,C,MEDIUM,NO,RSA,NO,YES,NO
970410,256,9,3,12,ECDHE,STANDALONE,A,MEDIUM,,RSA,YES,YES,
51448,0,9,1,1,AES,MIX,A,HIGH,,RSA,,NO,YES
101577,256,10,2,1,AES,web,A,HIGH,YES,RSA,,NO,NO
932760,0,10,2,6,ECDHE,MIX,C,LOW,YES,RSA,,YES,NO
1941,2048,10,2,9,ECDHE,MIX,B,HIGH,YES,RSA,NO,NO,YES
9942154,0,8,3,6,ECDHE,STANDALONE,A,LOW,NO,RSA,,YES,
260,0,8,3,6,ECDHE,MIX,B,LOW,YES,RSA,NO,YES,NO
51406,223,10,2,9,RSA,STANDALONE,B,LOW,YES,RSA,NO,YES,
89428,1024,8,2,6,RSA,web,D,HIGH,YES,RSA,,YES,NO
4142,0,9,2,12,ECDHE,MIX,A,LOW,YES,RSA,NO,YES,NO
59166,2048,9,2,1,RSA,web,C,HIGH,NO,RSA,,YES,NO
91599,0,7,3,3,ECDHE,MIX,D,HIGH,,RSA,YES,NO,NO
4465,3111,8,2,9,RSA,web,C,HIGH,YES,RSA,YES,YES,
9043520,0,8,3,12,ECDHE,web,C,MEDIUM,,RSA,YES,YES,
98540,256,8,2,6,ECDHE,web,D,LOW,,RSA,NO,NO,NO
680592,142,8,2,1,AES,web,D,HIGH,NO,RSA,,NO,NO
43521,256,8,2,12,RSA,STANDALONE,C,LOW,YES,RSA,NO,YES,NO
5128,0,9,1,7,AES,MIX,A,HIGH,NO,RSA,,YES,NO
4671938,69,8,3,9,RSA,web,C,MEDIUM,YES,RSA,,YES,
9831155,0,7,3,12,ECDHE,STANDALONE,C,MEDIUM,NO,RSA,YES,YES,
113999,256,10,2,6,ECDHE,web,A,HIGH,YES,RSA,,NO,NO
96111,0,9,2,9,ECDHE,MIX,B,MEDIUM,NO,RSA,NO,YES,NO
92015,1024,8,2,6,AES,web,A,HIGH,NO,RSA,,NO,NO
2497,1024,9,2,9,AES,MIX,A,LOW,NO,RSA,NO,NO,YES
123466,44,9,2,9,DES,MIX,A,HIGH,,RSA,NO,YES,YES
2782,1095,9,2,8,AES,MIX,B,MEDIUM,,RSA,NO,YES,
3708,136,9,3,9,RSA,MIX,A,LOW,NO,RSA,NO,YES,NO
1870,2021,9,2,9,RSA,web,B,HIGH,YES,RSA,NO,NO,NO
38411,556,10,2,6,ECDHE,web,A,HIGH,YES,RSA,NO,NO,NO
5600,4096,9,1,1,RSA,web,A,HIGH,YES,RSA,,NO,YES
94901,0,9,2,8,AES,web,C,LOW,NO,RSA,NO,YES,YES
4278,2048,7,2,10,RSA,web,C,HIGH,,RSA,,YES,
680751,256,8,2,12,RSA,STANDALONE,D,MEDIUM,YES,RSA,YES,YES,NO
3590,2048,10,2,12,RSA,web,B,LOW,NO,RSA,NO,YES,NO
10000000,1320,7,2,12,RSA,STANDALONE,C,MEDIUM,YES,RSA,YES,YES,
663269,2048,9,2,8,DES,web,C,HIGH,YES,RSA,,NO,YES
123468,256,8,2,12,ECDHE,STANDALONE,C,MEDIUM,YES,RSA,NO,YES,
9987998,2048,8,2,4,RSA,web,C,HIGH,YES,RSA,,NO,YES
123459,256,9,1,12,ECDHE,STANDALONE,B,HIGH,YES,RSA,NO,NO,NO
1329,256,10,2,6,AES,MIX,D,HIGH,YES,RSA,NO,YES,YES
6401,21,7,3,12,RSA,MIX,C,LOW,,RSA,NO,YES,NO
814,2048,8,1,3,RSA,MIX,B,HIGH,YES,RSA,,NO,YES
10000000,184,8,3,6,ECDHE,STANDALONE,D,MEDIUM,,RSA,YES,NO,
1126,1024,9,2,9,RSA,web,A,LOW,NO,RSA,NO,YES,YES
6227,175,8,2,1,AES,web,D,HIGH,,RSA,,NO,NO
10000000,1315,7,2,6,RSA,STANDALONE,B,HIGH,,RSA,,NO,
21439,0,9,2,6,ECDHE,MIX,B,LOW,NO,RSA,,YES,NO
96368,1556,10,2,8,AES,web,A,MEDIUM,YES,RSA,,NO,
662770,2030,10,1,11,RSA,STANDALONE,A,HIGH,YES,RSA,,NO,
101978,362,10,1,6,ECDHE,web,B,HIGH,YES,RSA,,YES,YES
9971275,681,8,2,1,RSA,web,D,HIGH,YES,RSA,,YES,
94855,1430,8,2,1,DES,web,D,HIGH,,RSA,,NO,NO
683,323,9,1,10,DES,MIX,B,LOW,YES,RSA,NO,YES,YES
111388,2048,10,1,6,ECDHE,web,B,HIGH,YES,RSA,,NO,NO
8055,240,9,3,12,RSA,STANDALONE,C,MEDIUM,NO,RSA,YES,YES,
2567,151,9,2,8,RSA,web,B,HIGH,NO,RSA,NO,NO,NO
12,256,9,1,8,RSA,web,B,LOW,NO,RSA,,NO,NO
915128,548,8,2,6,ECDHE,web,C,MEDIUM,NO,RSA,YES,NO,NO
978306,1837,8,2,6,RSA,STANDALONE,D,HIGH,,RSA,,NO,
2800,256,9,2,9,RSA,MIX,B,LOW,YES,RSA,YES,YES,NO
95508,203,9,2,9,RSA,web,D,HIGH,YES,RSA,NO,YES,
109906,0,9,2,9,ECDHE,MIX,B,HIGH,YES,RSA,YES,YES,NO
2075,3398,10,2,12,RSA,MIX,A,LOW,YES,RSA,NO,YES,
4839,0,8,2,8,RSA,MIX,D,MEDIUM,YES,RSA,,YES,NO
930975,1024,9,2,6,ECDHE,web,C,HIGH,YES,RSA,,NO,YES
1052,0,10,1,6,DES,web,A,HIGH,,RSA,NO,YES,YES
40,4096,8,2,12,RSA,MIX,C,HIGH,NO,RSA,YES,YES,YES
1963,2048,8,2,1,RSA,web,A,HIGH,,RSA,,NO,NO
936138,0,10,1,9,AES,MIX,B,MEDIUM,YES,RSA,NO,YES,NO
13676,0,9,2,9,DES,MIX,B,LOW,YES,RSA,NO,YES,NO
1438,232,8,2,9,ECDHE,MIX,B,LOW,YES,RSA,NO,YES,NO
107184,1024,8,2,2,AES,web,D,HIGH,NO,RSA,,YES,NO
4391,793,10,2,9,RSA,MIX,B,LOW,YES,RSA,NO,NO,YES
660639,0,7,3,9,ECDHE,MIX,B,LOW,,RSA,NO,YES,
95906,2048,9,2,9,RSA,MIX,B,LOW,YES,RSA,NO,YES,NO
6869726,1725,9,2,12,RSA,STANDALONE,C,MEDIUM,YES,RSA,YES,YES,NO
99249,2048,8,3,9,RSA,STANDALONE,B,LOW,YES,RSA,YES,YES,NO
7340493,1656,8,3,6,RSA,STANDALONE,D,HIGH,,RSA,,YES,NO
4123,162,9,1,12,AES,MIX,A,HIGH,YES,RSA,,YES,NO
427415,0,10,2,6,DES,STANDALONE,A,HIGH,YES,RSA,,NO,YES
118310,256,9,3,9,RSA,STANDALONE,D,MEDIUM,YES,RSA,,YES,
5353,247,10,1,9,AES,MIX,A,HIGH,NO,RSA,,NO,YES
94291,69,8,3,12,RSA,MIX,C,MEDIUM,YES,RSA,YES,YES,YES
3573356,165,7,2,9,RSA,STANDALONE,C,MEDIUM,YES,RSA,,YES,NO
99245,296,9,2,11,ECDHE,MIX,B,HIGH,NO,RSA,YES,YES,
123457,81,10,2,12,RSA,STANDALONE,B,LOW,YES,RSA,YES,YES,
123071,256,8,1,1,AES,web,D,HIGH,YES,RSA,,NO,NO
9639,256,9,1,1,AES,web,D,HIGH,YES,RSA,,NO,NO
5892,0,8,2,9,ECDHE,MIX,B,LOW,NO,RSA,,YES,NO
10000000,256,7,2,9,RSA,web,D,MEDIUM,,RSA,YES,YES,NO
9933750,2048,9,1,6,RSA,MIX,A,HIGH,YES,RSA,,NO,YES
99466,2048,7,1,6,AES,web,D,HIGH,,RSA,,NO,YES
10000000,0,8,3,6,ECDHE,web,A,MEDIUM,YES,RSA,,YES,
265,1269,10,2,6,AES,web,A,HIGH,NO,RSA,,YES,YES
2825,0,10,2,9,RSA,MIX,B,LOW,NO,RSA,YES,YES,NO
123464,429,8,2,9,RSA,STANDALONE,B,HIGH,YES,RSA,YES,NO,
4443,2048,10,1,9,AES,web,A,HIGH,YES,RSA,,NO,YES
530618,256,9,3,12,RSA,STANDALONE,B,MEDIUM,YES,RSA,YES,YES,NO
3400,2048,10,2,12,RSA,MIX,B,LOW,NO,RSA,NO,YES,YES
233666,212,8,3,12,RSA,STANDALONE,C,MEDIUM,YES,RSA,YES,YES,
101745,238,7,2,6,AES,STANDALONE,B,HIGH,,RSA,YES,YES,NO
473783,1916,8,2,6,AES,web,B,HIGH,,RSA,,NO,NO
3205,1024,8,1,1,RSA,web,A,HIGH,,RSA,,NO,NO
103267,1024,7,2,1,RSA,web,C,HIGH,,RSA,YES,YES,NO
9928215,1024,9,3,7,RSA,MIX,C,HIGH,,RSA,NO,NO,
9914467,3719,9,2,6,RSA,web,A,HIGH,YES,RSA,,NO,YES
99536,0,8,1,6,AES,web,B,LOW,YES,RSA,,YES,NO
2855419,256,8,1,1,DES,web,D,HIGH,YES,RSA,,NO,YES
10000000,1574,7,2,3,RSA,web,C,MEDIUM,,RSA,YES,NO,
2504,0,9,1,9,ECDHE,web,A,HIGH,NO,RSA,,NO,YES
99285,4096,8,2,7,RSA,web,A,HIGH,YES,RSA,,NO,NO
99561,1130,8,1,6,RSA,web,D,HIGH,,RSA,,NO,NO
987108,256,7,3,11,AES,STANDALONE,C,MEDIUM,NO,RSA,YES,YES,
96334,1024,9,1,3,AES,web,A,HIGH,,RSA,NO,NO,YES
123466,535,9,2,9,RSA,STANDALONE,C,MEDIUM,YES,RSA,,NO,
93776,0,8,3,12,ECDHE,STANDALONE,C,LOW,NO,RSA,NO,YES,NO
1979,231,10,1,9,AES,MIX,A,HIGH,NO,RSA,NO,YES,YES
6367,0,10,1,9,ECDHE,web,A,HIGH,YES,RSA,NO,YES,YES
123468,113,8,2,6,ECDHE,web,D,HIGH,YES,RSA,YES,YES,YES
883831,0,8,3,2,ECDHE,STANDALONE,D,MEDIUM,NO,RSA,YES,NO,NO
98867,2048,9,3,6,RSA,MIX,B,MEDIUM,YES,RSA,,YES,NO
98889,2160,9,2,9,RSA,web,C,MEDIUM,YES,RSA,,NO,YES
3560,1627,9,2,9,RSA,web,B,LOW,NO,RSA,NO,NO,NO
76822,523,9,2,7,AES,web,B,LOW,YES,RSA,NO,YES,NO
106737,1024,10,1,6,RSA,MIX,A,HIGH,YES,RSA,,NO,YES
9942013,1229,8,3,9,AES,STANDALONE,C,MEDIUM,YES,RSA,NO,NO,
2616824,148,8,2,3,RSA,web,D,HIGH,YES,RSA,,NO,NO
122226,0,7,2,9,RSA,MIX,A,HIGH,,RSA,NO,NO,NO
8194,256,10,2,4,RSA,web,A,HIGH,YES,RSA,NO,NO,NO
119390,973,9,2,9,RSA,STANDALONE,A,HIGH,YES,RSA,NO,YES,YES
1872,827,7,1,6,AES,web,D,HIGH,NO,RSA,,NO,NO
88025,658,8,2,10,RSA,MIX,C,LOW,YES,RSA,,YES,
