Application,App_type,Algo,Frequency,key size,Data Sensisitivity,arch flexibility,third party used,is third party quantum safe,data trans(algo),data self life,migration,vendor pqc compliant,vendor supply time
D,MIX,ECDHE,143133,4096,HIGH,,NO,,RSA,9,3,YES,1
B,MIX,RSA,5600523,810,LOW,NO,NO,YES,RSA,10,2,,6
C,STANDALONE,ECDHE,15797108,888,MEDIUM,,YES,,RSA,10,1,NO,1
C,STANDALONE,ECDHE,3491864,1663,MEDIUM,YES,NO,NO,RSA,7,3,,2
C,MIX,ECDHE,214608,996,LOW,NO,YES,YES,RSA,10,2,NO,1
C,web,ECDHE,1862368,2975,HIGH,,YES,,RSA,10,2,NO,2
A,MIX,DES,8376072,3046,HIGH,YES,YES,,RSA,10,2,NO,1
C,MIX,DES,11281956,288,HIGH,,YES,NO,RSA,10,2,,2
A,web,AES,15407175,1046,LOW,,NO,NO,RSA,10,1,,1
C,STANDALONE,RSA,6003926,725,LOW,YES,NO,YES,RSA,10,3,NO,12
A,MIX,RSA,572663,4096,LOW,YES,YES,YES,RSA,10,3,,1
C,STANDALONE,RSA,7636139,0,LOW,NO,NO,,RSA,9,2,YES,1
D,STANDALONE,ECDHE,15334046,96,MEDIUM,YES,YES,,RSA,8,3,YES,2
D,STANDALONE,ECDHE,4746924,3138,HIGH,NO,YES,YES,RSA,10,2,,1
C,web,RSA,11066975,0,LOW,YES,YES,YES,RSA,10,3,NO,1
D,web,DES,12221242,1136,LOW,YES,NO,NO,RSA,10,2,NO,5
B,STANDALONE,RSA,1931842,1797,HIGH,YES,YES,,RSA,8,3,,5
B,MIX,ECDHE,8118058,1812,HIGH,YES,YES,,RSA,10,1,,5
B,web,RSA,12708740,3036,LOW,,YES,YES,RSA,10,2,,1
A,MIX,DES,7152352,4096,LOW,YES,NO,,RSA,10,3,,6
C,web,AES,9950346,2496,LOW,NO,YES,NO,RSA,10,3,YES,9
C,STANDALONE,DES,2511388,3076,HIGH,,NO,,RSA,10,3,,11
C,web,ECDHE,13193222,1181,LOW,YES,YES,,RSA,7,3,NO,12
A,STANDALONE,ECDHE,6414085,1408,LOW,YES,YES,,RSA,10,3,YES,1
B,STANDALONE,RSA,5389402,441,LOW,,YES,,RSA,10,3,NO,8
C,web,RSA,13224251,1719,HIGH,YES,YES,,RSA,7,1,,1
C,STANDALONE,RSA,15588489,1139,LOW,NO,NO,,RSA,9,3,,2
C,STANDALONE,RSA,13323243,474,HIGH,YES,NO,,RSA,10,3,,8
B,web,ECDHE,10776969,4096,MEDIUM,,NO,,RSA,8,2,,8
B,STANDALONE,RSA,9276282,2048,MEDIUM,NO,YES,,RSA,10,3,,11
A,STANDALONE,ECDHE,7958377,1443,MEDIUM,,YES,NO,RSA,10,3,NO,5
A,MIX,DES,809043,476,MEDIUM,,YES,YES,RSA,10,3,NO,1
D,STANDALONE,RSA,3165022,2197,HIGH,,YES,,RSA,8,1,,2
C,STANDALONE,AES,12562519,2516,MEDIUM,NO,YES,,RSA,7,3,NO,1
A,MIX,RSA,7744283,0,MEDIUM,NO,YES,YES,RSA,10,3,,1
D,MIX,ECDHE,604045,1820,MEDIUM,NO,YES,,RSA,10,3,NO,1
C,MIX,RSA,189415,4096,HIGH,NO,NO,,RSA,10,1,NO,7
C,MIX,ECDHE,3142863,2933,MEDIUM,,YES,,RSA,8,2,,3
B,web,AES,5828530,4096,MEDIUM,,YES,,RSA,10,3,,6
B,web,RSA,406428,3150,HIGH,YES,NO,NO,RSA,8,3,,1
C,web,AES,16223390,2822,MEDIUM,NO,YES,YES,RSA,9,3,,1
B,web,RSA,14143201,954,LOW,YES,YES,NO,RSA,7,3,NO,10
C,MIX,RSA,5326013,2183,LOW,NO,YES,,RSA,9,3,NO,12
A,web,ECDHE,9434846,1690,HIGH,,YES,,RSA,10,3,,3
C,web,RSA,15147588,632,LOW,,NO,,RSA,7,1,,2
B,MIX,ECDHE,4753754,25,LOW,YES,YES,,RSA,10,3,,1
D,MIX,ECDHE,9858256,1636,LOW,,YES,NO,RSA,7,3,,4
B,web,ECDHE,6448054,1683,HIGH,NO,YES,,RSA,8,2,YES,11
B,web,RSA,12623219,72,LOW,YES,NO,,RSA,9,3,,1
A,web,ECDHE,8066821,494,MEDIUM,NO,YES,,RSA,10,3,,1
B,STANDALONE,ECDHE,10821778,315,MEDIUM,,NO,NO,RSA,10,3,,4
C,web,RSA,2259355,2038,MEDIUM,NO,YES,,RSA,10,3,YES,1
B,STANDALONE,RSA,4379690,0,HIGH,YES,NO,YES,RSA,8,2,,5
B,STANDALONE,RSA,13197718,3017,LOW,,NO,NO,RSA,10,3,,12
A,web,RSA,14809237,590,HIGH,YES,YES,,RSA,8,3,NO,4
B,web,ECDHE,4770237,4096,HIGH,YES,YES,,RSA,7,1,,11
B,STANDALONE,RSA,181534,1616,HIGH,,YES,NO,RSA,10,3,,12
D,web,RSA,1674987,2195,HIGH,,NO,YES,RSA,10,3,NO,12
B,web,ECDHE,8666089,0,LOW,NO,NO,,RSA,10,3,YES,4
C,STANDALONE,ECDHE,3301575,2048,HIGH,NO,NO,,RSA,10,3,,3
D,web,ECDHE,1243878,4096,HIGH,YES,YES,,RSA,10,1,,1
B,STANDALONE,RSA,9482602,787,MEDIUM,YES,YES,NO,RSA,8,3,NO,12
B,web,RSA,13921591,3760,MEDIUM,,NO,,RSA,10,1,,1
C,web,ECDHE,1577842,4096,LOW,YES,YES,,RSA,9,2,,12
C,MIX,RSA,4442942,0,LOW,YES,YES,,RSA,10,2,YES,8
B,web,ECDHE,1733861,650,LOW,YES,YES,,RSA,10,2,,1
C,web,AES,14207361,0,LOW,,YES,NO,RSA,10,3,NO,6
A,MIX,ECDHE,11188570,3051,LOW,,YES,YES,RSA,10,2,,1
B,STANDALONE,RSA,7152290,0,HIGH,NO,YES,,RSA,10,3,,12
C,MIX,RSA,1242084,242,LOW,,YES,,RSA,10,3,,2
A,STANDALONE,RSA,439901,0,LOW,NO,YES,YES,RSA,7,3,,7
A,web,AES,8316590,4060,HIGH,NO,NO,YES,RSA,7,3,,6
D,MIX,RSA,1364017,277,MEDIUM,,YES,YES,RSA,10,3,,12
B,web,AES,13356235,1472,MEDIUM,NO,YES,YES,RSA,9,3,YES,10
B,web,DES,975142,27,LOW,YES,YES,,RSA,10,1,,1
B,web,ECDHE,16243892,4096,LOW,NO,YES,,RSA,10,3,,1
C,MIX,DES,4831253,490,HIGH,NO,YES,,RSA,9,3,,12
D,STANDALONE,DES,2043577,102,HIGH,YES,NO,NO,RSA,9,1,YES,1
C,STANDALONE,RSA,4697242,1437,HIGH,,NO,,RSA,9,1,,1
C,web,AES,2652665,1527,HIGH,YES,YES,NO,RSA,9,2,,8
B,MIX,RSA,9222483,1150,LOW,,YES,,RSA,10,3,,3
C,MIX,ECDHE,9556211,984,HIGH,,YES,,RSA,9,2,,1
B,STANDALONE,DES,5453131,4096,HIGH,YES,YES,,RSA,8,3,NO,1
A,web,ECDHE,14672765,4096,MEDIUM,,YES,,RSA,9,3,,10
D,web,DES,8324857,0,LOW,YES,NO,YES,RSA,10,2,NO,12
D,MIX,AES,15567118,3886,HIGH,NO,NO,,RSA,8,3,,6
A,web,ECDHE,4841778,1486,MEDIUM,,NO,,RSA,10,2,NO,5
A,MIX,ECDHE,2400868,4093,HIGH,,YES,NO,RSA,7,3,YES,1
C,web,RSA,12863765,1016,LOW,,NO,,RSA,8,1,NO,12
C,web,AES,14722473,976,MEDIUM,NO,NO,,RSA,7,3,,8
B,STANDALONE,RSA,7034235,877,HIGH,,YES,,RSA,8,3,NO,1
C,MIX,DES,4445219,2185,LOW,NO,NO,,RSA,10,3,NO,1
D,STANDALONE,ECDHE,4023149,4096,MEDIUM,,YES,,RSA,7,2,,9
A,MIX,ECDHE,13821283,1149,LOW,YES,NO,NO,RSA,10,3,,12
D,STANDALONE,ECDHE,8663636,424,LOW,,YES,NO,RSA,10,1,,10
A,MIX,AES,105962,1754,HIGH,YES,NO,,RSA,10,3,YES,5
D,MIX,ECDHE,9501339,1343,LOW,,YES,NO,RSA,10,2,,1
B,STANDALONE,ECDHE,3250569,758,HIGH,NO,YES,,RSA,10,3,YES,1
B,MIX,AES,8050891,0,LOW,YES,NO,YES,RSA,10,3,,5
C,STANDALONE,ECDHE,9756100,997,LOW,YES,NO,NO,RSA,10,3,,2
D,MIX,RSA,6040096,0,LOW,NO,NO,NO,RSA,10,3,YES,1
B,web,ECDHE,3708501,3194,HIGH,,NO,,RSA,10,3,,10
D,MIX,ECDHE,14118065,1094,HIGH,YES,YES,NO,RSA,10,2,,3
B,MIX,ECDHE,923795,1241,LOW,YES,NO,,RSA,10,1,YES,5
A,web,DES,4418615,709,LOW,,YES,,RSA,9,2,NO,1
C,STANDALONE,RSA,2904486,706,HIGH,,YES,NO,RSA,8,3,,4
A,MIX,RSA,4133082,3932,LOW,YES,NO,,RSA,8,3,YES,3
C,MIX,RSA,16181623,1459,HIGH,YES,YES,,RSA,10,2,,2
C,STANDALONE,RSA,3070888,530,MEDIUM,YES,YES,,RSA,9,3,,12
C,STANDALONE,ECDHE,11943263,4096,LOW,NO,YES,YES,RSA,10,3,,12
C,STANDALONE,ECDHE,2412055,3703,HIGH,NO,YES,,RSA,10,2,,1
B,MIX,AES,3370946,1954,MEDIUM,NO,YES,YES,RSA,8,3,NO,2
A,web,ECDHE,8498174,0,LOW,,YES,NO,RSA,10,3,,1
A,STANDALONE,RSA,11475002,0,LOW,YES,NO,,RSA,10,2,,1
B,STANDALONE,AES,12037461,1901,LOW,YES,NO,,RSA,9,3,,3
B,web,RSA,13155828,858,HIGH,,NO,YES,RSA,10,3,NO,1
C,MIX,RSA,13176999,1972,HIGH,YES,NO,NO,RSA,10,3,,8
C,MIX,ECDHE,6499597,0,LOW,NO,YES,,RSA,10,3,NO,1
D,web,RSA,1374518,4096,HIGH,YES,YES,NO,RSA,8,3,,4
C,MIX,RSA,2325543,1574,MEDIUM,NO,YES,NO,RSA,10,1,,8
B,MIX,ECDHE,8245905,404,LOW,YES,YES,,RSA,10,3,NO,11
B,web,ECDHE,5709926,0,MEDIUM,NO,NO,,RSA,10,3,NO,4
A,MIX,DES,3683101,2693,HIGH,,YES,,RSA,10,3,NO,7
B,MIX,AES,7530700,412,HIGH,,YES,,RSA,10,3,,1
C,MIX,RSA,2833881,943,MEDIUM,YES,NO,YES,RSA,8,2,NO,5
B,STANDALONE,RSA,6703453,1401,HIGH,NO,YES,,RSA,10,3,,1
A,STANDALONE,AES,15474592,1565,LOW,YES,NO,NO,RSA,7,3,,1
C,web,RSA,661907,0,HIGH,YES,YES,YES,RSA,10,2,YES,1
A,web,RSA,4745036,1429,MEDIUM,,NO,NO,RSA,10,3,,10
D,MIX,RSA,7577407,1916,MEDIUM,NO,YES,YES,RSA,7,3,,9
C,MIX,DES,1654047,0,HIGH,NO,YES,NO,RSA,10,3,YES,10
D,STANDALONE,ECDHE,5274984,563,HIGH,NO,YES,,RSA,7,3,NO,1
C,MIX,ECDHE,12621737,1924,MEDIUM,YES,YES,NO,RSA,7,2,YES,12
C,MIX,RSA,8056603,852,HIGH,,YES,,RSA,9,3,NO,1
C,STANDALONE,ECDHE,797059,801,MEDIUM,,YES,,RSA,10,1,,1
D,web,RSA,2876611,3399,HIGH,NO,YES,,RSA,10,1,NO,1
C,STANDALONE,RSA,824997,77,HIGH,,YES,NO,RSA,10,2,,1
B,MIX,ECDHE,12507940,1413,MEDIUM,NO,NO,,RSA,8,3,NO,1
B,MIX,DES,6572348,1398,HIGH,,YES,NO,RSA,10,3,,4
C,STANDALONE,AES,16040064,0,LOW,YES,YES,YES,RSA,10,3,YES,12
C,web,AES,1729536,3946,HIGH,NO,YES,YES,RSA,7,1,YES,12
A,web,RSA,14100004,3730,LOW,,YES,,RSA,10,3,NO,6
A,web,ECDHE,7215973,2143,LOW,,YES,,RSA,10,2,,1
C,STANDALONE,RSA,12671177,1111,MEDIUM,,NO,,RSA,10,2,YES,10
C,MIX,RSA,16423076,4096,MEDIUM,YES,YES,,RSA,7,3,,7
B,STANDALONE,DES,2770375,1531,HIGH,,NO,NO,RSA,10,3,,12
D,web,RSA,5472267,3086,MEDIUM,YES,NO,YES,RSA,9,3,YES,12
C,web,ECDHE,1007770,0,LOW,NO,NO,,RSA,8,3,,5
B,web,RSA,1260683,0,HIGH,,NO,,RSA,10,3,YES,1
B,STANDALONE,RSA,15019976,251,LOW,,YES,,RSA,7,3,,1
B,MIX,RSA,13072570,3910,MEDIUM,,NO,,RSA,10,2,,1
C,MIX,ECDHE,5336900,0,LOW,YES,YES,NO,RSA,10,3,NO,5
B,STANDALONE,AES,16463322,2995,LOW,,YES,,RSA,7,3,,5
B,MIX,AES,12525696,949,MEDIUM,YES,NO,NO,RSA,10,3,YES,1
B,STANDALONE,AES,316794,1654,LOW,YES,YES,,RSA,10,3,NO,1
B,STANDALONE,ECDHE,13983066,1075,LOW,NO,YES,,RSA,7,2,,8
C,STANDALONE,RSA,1718492,0,LOW,,YES,,RSA,8,2,,12
D,web,AES,14545639,0,LOW,YES,YES,,RSA,10,3,NO,1
B,web,RSA,525659,57,MEDIUM,NO,NO,,RSA,9,3,,1
B,web,ECDHE,8818102,2017,HIGH,,YES,YES,RSA,10,3,YES,1
A,MIX,AES,11122663,1346,LOW,NO,NO,,RSA,10,2,,1
D,MIX,AES,11609887,1554,LOW,,YES,,RSA,9,3,NO,7
B,MIX,ECDHE,10514323,4096,LOW,YES,YES,,RSA,9,3,,10
C,web,RSA,2958048,1846,LOW,NO,NO,,RSA,10,3,,11
C,MIX,RSA,6639409,4096,LOW,YES,NO,,RSA,8,3,NO,7
C,MIX,RSA,16568121,3459,HIGH,NO,YES,YES,RSA,10,3,YES,4
C,MIX,RSA,7705332,0,LOW,NO,YES,,RSA,10,3,,1
D,STANDALONE,ECDHE,3953076,0,LOW,,YES,,RSA,9,3,YES,5
B,STANDALONE,ECDHE,3195633,2479,MEDIUM,YES,YES,,RSA,8,3,,12
B,web,RSA,6171104,3287,MEDIUM,YES,YES,,RSA,10,3,NO,6
C,MIX,RSA,6759819,1917,LOW,YES,YES,,RSA,10,3,,7
A,MIX,AES,12626282,2934,HIGH,,YES,,RSA,10,1,,1
B,STANDALONE,AES,15281895,490,LOW,,YES,,RSA,10,3,,8
A,STANDALONE,ECDHE,9152433,1615,HIGH,YES,YES,,RSA,10,3,YES,2
C,STANDALONE,RSA,8720628,3217,HIGH,YES,NO,,RSA,10,2,NO,1
B,MIX,AES,10949858,2203,HIGH,,YES,YES,RSA,7,2,,1
A,STANDALONE,RSA,812131,1198,LOW,,NO,NO,RSA,8,1,NO,1
C,STANDALONE,ECDHE,734242,0,HIGH,YES,NO,,RSA,10,3,,1
B,web,AES,2563656,0,MEDIUM,YES,YES,,RSA,9,3,NO,5
C,web,DES,3945020,388,LOW,NO,YES,NO,RSA,10,3,,3
A,web,ECDHE,3858147,4096,HIGH,NO,YES,YES,RSA,9,3,NO,11
A,web,DES,2456395,899,LOW,,YES,,RSA,10,3,,1
D,STANDALONE,RSA,1188239,2762,MEDIUM,NO,YES,,RSA,10,3,,1
C,MIX,ECDHE,2892062,3397,MEDIUM,YES,YES,,RSA,10,3,,2
B,web,ECDHE,7296417,0,HIGH,NO,NO,NO,RSA,10,3,NO,2
C,MIX,ECDHE,7355865,4080,HIGH,YES,NO,,RSA,10,3,NO,1
A,web,RSA,15952617,3313,LOW,,NO,NO,RSA,7,2,,4
C,MIX,RSA,6133061,352,MEDIUM,,YES,NO,RSA,10,3,,12
B,web,AES,11923066,2010,LOW,NO,YES,,RSA,9,3,,2
C,MIX,RSA,8439427,0,HIGH,YES,YES,NO,RSA,10,3,,6
A,web,AES,16740180,4096,HIGH,,YES,,RSA,10,1,NO,1
C,web,RSA,6787800,2252,MEDIUM,YES,NO,NO,RSA,9,1,YES,4
C,web,RSA,5070274,1685,LOW,YES,YES,,RSA,8,2,,1
B,STANDALONE,ECDHE,10384736,643,LOW,NO,YES,,RSA,10,3,YES,12
D,MIX,AES,7790605,1220,HIGH,,NO,,RSA,10,2,,12
A,web,ECDHE,14997365,1033,MEDIUM,YES,YES,YES,RSA,10,2,,4
B,web,RSA,6125670,761,LOW,YES,YES,,RSA,10,2,,9
A,STANDALONE,ECDHE,14432369,995,MEDIUM,NO,YES,,RSA,10,3,NO,5
B,web,RSA,7246072,4096,LOW,YES,YES,,RSA,9,3,NO,12
A,web,AES,12305267,1339,MEDIUM,YES,NO,NO,RSA,10,2,,5
A,MIX,RSA,16063855,0,MEDIUM,NO,NO,,RSA,10,1,,6
C,web,ECDHE,8042024,4096,HIGH,NO,YES,,RSA,7,3,NO,1
B,STANDALONE,ECDHE,16549962,1762,HIGH,YES,YES,YES,RSA,7,3,,6
B,web,ECDHE,8839249,1076,HIGH,NO,YES,,RSA,7,2,,2
C,STANDALONE,AES,15417652,4096,MEDIUM,YES,YES,NO,RSA,9,3,,12
D,STANDALONE,AES,3427795,0,MEDIUM,YES,NO,,RSA,10,3,,1
C,STANDALONE,AES,1996845,510,MEDIUM,YES,YES,,RSA,9,1,,12
B,MIX,RSA,13032184,2749,HIGH,YES,NO,YES,RSA,9,2,NO,1
B,MIX,ECDHE,6069564,1747,LOW,NO,YES,YES,RSA,10,3,,10
C,web,RSA,1741450,2599,HIGH,YES,NO,,RSA,10,3,NO,12
C,STANDALONE,ECDHE,7700054,1106,MEDIUM,NO,YES,,RSA,9,3,,6
A,web,RSA,6233888,3276,MEDIUM,,NO,NO,RSA,7,3,,1
C,MIX,ECDHE,2056901,49,MEDIUM,NO,NO,,RSA,8,3,YES,1
C,MIX,RSA,1779446,0,MEDIUM,NO,YES,,RSA,10,3,NO,9
D,MIX,RSA,3151605,2480,LOW,,YES,,RSA,10,3,YES,1
A,web,ECDHE,7458293,1547,LOW,YES,YES,YES,RSA,10,3,,1
B,STANDALONE,ECDHE,14820157,4096,HIGH,,YES,,RSA,10,3,NO,7
B,STANDALONE,ECDHE,9324604,2917,LOW,YES,YES,,RSA,10,3,,1
B,web,ECDHE,8672257,0,LOW,,YES,,RSA,10,3,,4
C,web,RSA,14150450,4096,LOW,YES,YES,YES,RSA,9,3,,9
D,MIX,RSA,10805816,1182,LOW,YES,NO,NO,RSA,8,3,NO,1
A,MIX,ECDHE,8606768,0,LOW,NO,YES,,RSA,10,3,NO,12
B,MIX,ECDHE,10226316,1379,MEDIUM,YES,YES,YES,RSA,10,3,NO,8
B,STANDALONE,ECDHE,13513500,259,LOW,NO,YES,,RSA,7,3,,3
C,STANDALONE,RSA,11808260,2303,MEDIUM,NO,NO,,RSA,8,2,,2
C,STANDALONE,ECDHE,15235640,398,HIGH,,NO,,RSA,9,3,,6
C,MIX,RSA,14199263,1733,LOW,NO,YES,,RSA,10,3,,7
A,web,RSA,3009211,1119,LOW,NO,YES,NO,RSA,10,3,YES,8
D,web,AES,1110569,420,LOW,YES,YES,,RSA,7,3,NO,1
D,MIX,RSA,8484742,686,LOW,YES,NO,,RSA,10,3,,12
C,web,ECDHE,1046174,0,MEDIUM,,YES,,RSA,10,2,,8
C,MIX,ECDHE,9912259,0,LOW,YES,YES,YES,RSA,10,3,,11
B,STANDALONE,RSA,15342109,585,MEDIUM,YES,YES,,RSA,10,3,,5
A,web,ECDHE,1780507,1530,HIGH,,YES,,RSA,9,2,,8
D,STANDALONE,ECDHE,9437909,1117,LOW,YES,NO,,RSA,10,3,,1
C,web,AES,6182162,4096,HIGH,YES,NO,,RSA,10,2,NO,6
A,STANDALONE,RSA,13015996,4096,HIGH,YES,YES,,RSA,10,3,,10
B,STANDALONE,AES,15961923,4096,HIGH,NO,YES,,RSA,7,3,NO,12
A,web,ECDHE,15220225,4096,HIGH,,YES,,RSA,10,1,NO,3
B,STANDALONE,DES,7651533,2213,MEDIUM,YES,YES,,RSA,10,2,YES,3
A,web,AES,16304782,252,MEDIUM,,NO,YES,RSA,10,3,,1
B,STANDALONE,ECDHE,11368200,662,LOW,,NO,NO,RSA,9,3,,3
D,STANDALONE,ECDHE,5926931,734,LOW,YES,YES,,RSA,8,1,,1
C,web,RSA,2957011,4096,MEDIUM,NO,YES,YES,RSA,8,1,,12
B,web,RSA,8978385,4096,LOW,YES,YES,YES,RSA,7,1,NO,7
D,MIX,AES,16174738,2251,LOW,YES,NO,YES,RSA,10,3,,6
B,STANDALONE,ECDHE,7568676,4096,MEDIUM,YES,NO,,RSA,7,3,,7
B,STANDALONE,RSA,10501007,4096,HIGH,NO,NO,,RSA,8,3,,7
D,web,ECDHE,14369605,393,HIGH,YES,NO,,RSA,7,3,,1
D,STANDALONE,ECDHE,2280974,1183,HIGH,NO,NO,,RSA,9,3,,4
C,MIX,AES,3669879,1646,HIGH,YES,YES,,RSA,10,3,YES,6
B,STANDALONE,RSA,15754406,4096,MEDIUM,YES,YES,,RSA,8,3,NO,2
B,STANDALONE,RSA,666199,329,MEDIUM,NO,YES,NO,RSA,10,2,,3
D,web,ECDHE,7799211,2406,MEDIUM,,NO,,RSA,10,3,,1
B,MIX,RSA,9453856,368,HIGH,,NO,,RSA,7,3,YES,12
B,web,RSA,14472897,0,LOW,,YES,,RSA,10,3,NO,10
B,MIX,RSA,15535632,4096,MEDIUM,,NO,,RSA,9,3,,1
C,web,DES,3222539,31,MEDIUM,YES,YES,,RSA,10,3,,1
B,MIX,RSA,16675814,1573,LOW,,YES,,RSA,8,3,,1
C,web,RSA,8431666,1337,MEDIUM,NO,YES,,RSA,10,3,NO,7
B,web,AES,9696305,398,MEDIUM,NO,YES,,RSA,10,3,,9
A,STANDALONE,RSA,4977467,227,MEDIUM,NO,NO,YES,RSA,9,3,NO,3
C,web,ECDHE,10302205,216,LOW,YES,YES,NO,RSA,10,1,,1
D,web,ECDHE,5711631,1110,HIGH,,NO,NO,RSA,7,3,NO,12
C,web,ECDHE,11990862,1599,LOW,,YES,NO,RSA,9,1,,1
D,STANDALONE,ECDHE,16155597,0,LOW,,YES,,RSA,10,3,,5
D,STANDALONE,ECDHE,11223105,4096,MEDIUM,YES,NO,,RSA,10,3,,4
A,web,AES,3522455,118,LOW,,NO,YES,RSA,10,1,,12
B,web,AES,9290757,408,LOW,NO,YES,,RSA,10,3,,1
A,STANDALONE,RSA,6570571,135,MEDIUM,NO,YES,,RSA,10,2,NO,5
B,MIX,RSA,3346212,0,LOW,NO,YES,,RSA,10,2,,12
C,MIX,ECDHE,3076215,1137,LOW,,YES,,RSA,10,2,NO,1
C,MIX,ECDHE,16626110,2586,HIGH,,YES,,RSA,9,3,,6
C,web,ECDHE,7936526,3466,LOW,YES,YES,NO,RSA,9,2,NO,1
C,MIX,RSA,12604867,1641,MEDIUM,,YES,,RSA,10,2,,4
D,STANDALONE,AES,6372673,91,HIGH,YES,NO,,RSA,10,2,,1
B,web,RSA,12107652,1030,HIGH,,YES,,RSA,8,3,,12
A,MIX,ECDHE,13785385,0,MEDIUM,NO,YES,,RSA,10,3,NO,12
B,MIX,RSA,15239384,1564,HIGH,,NO,,RSA,10,3,,1
C,web,ECDHE,13808775,4096,MEDIUM,NO,NO,NO,RSA,7,3,,12
C,STANDALONE,AES,13290076,22,HIGH,NO,NO,,RSA,10,3,,12
D,STANDALONE,RSA,4845725,4096,MEDIUM,YES,YES,,RSA,7,3,,12
C,web,ECDHE,10540200,735,MEDIUM,,NO,,RSA,9,2,,1
B,STANDALONE,DES,10821008,2627,LOW,NO,YES,,RSA,10,2,,12
C,web,ECDHE,6491066,1164,LOW,YES,YES,NO,RSA,10,3,NO,6
D,STANDALONE,RSA,2315031,4096,LOW,,YES,,RSA,10,2,YES,3
A,web,AES,10385820,737,HIGH,,YES,NO,RSA,9,3,,12
B,MIX,ECDHE,8821610,1158,MEDIUM,,YES,NO,RSA,9,3,,9
B,MIX,RSA,8198793,4044,LOW,NO,YES,,RSA,9,2,NO,1
A,STANDALONE,RSA,14775392,1202,LOW,,YES,YES,RSA,7,3,NO,12
D,web,ECDHE,12124347,4096,MEDIUM,YES,YES,,RSA,7,2,,1
B,MIX,DES,9610107,0,HIGH,YES,NO,,RSA,8,3,NO,12
C,web,RSA,2800984,0,LOW,,YES,,RSA,7,3,YES,4
C,MIX,RSA,8056363,2076,LOW,NO,YES,,RSA,7,2,,9
B,web,ECDHE,10501174,405,LOW,NO,YES,,RSA,9,3,,3
B,MIX,ECDHE,2179167,4096,LOW,YES,YES,YES,RSA,10,3,,2
C,web,RSA,14997005,2432,LOW,YES,YES,YES,RSA,10,3,NO,1
A,MIX,RSA,5475641,4096,HIGH,,YES,YES,RSA,7,3,NO,6
C,web,ECDHE,261214,3998,HIGH,,YES,,RSA,7,3,,6
A,STANDALONE,RSA,2028936,0,HIGH,,YES,YES,RSA,10,3,NO,4
C,web,ECDHE,820681,363,LOW,,YES,,RSA,10,1,YES,3
C,MIX,ECDHE,11966958,0,LOW,YES,NO,,RSA,8,2,NO,1
B,web,AES,1622250,1671,HIGH,,YES,,RSA,7,1,YES,1
D,MIX,ECDHE,9188848,531,LOW,NO,YES,,RSA,10,3,NO,7
B,web,RSA,7296759,2771,LOW,,NO,NO,RSA,10,2,,1
B,web,ECDHE,3336754,4096,MEDIUM,NO,YES,YES,RSA,10,3,,1
D,STANDALONE,RSA,14842064,4096,MEDIUM,,NO,,RSA,9,3,YES,1
B,web,RSA,1795405,923,LOW,YES,YES,,RSA,10,2,YES,1
D,web,DES,6193303,3997,LOW,YES,YES,NO,RSA,10,3,,1
C,web,AES,2418594,894,MEDIUM,,NO,,RSA,7,3,,1
B,MIX,ECDHE,4637306,710,HIGH,YES,YES,YES,RSA,10,3,NO,12
C,web,ECDHE,6225839,0,HIGH,NO,YES,,RSA,10,2,,6
C,STANDALONE,AES,12747749,2526,LOW,,YES,,RSA,8,3,NO,1
C,MIX,AES,9667231,1277,LOW,NO,NO,,RSA,9,2,NO,3
B,web,RSA,13090236,956,MEDIUM,,NO,,RSA,8,3,,1
A,web,ECDHE,12005371,4096,MEDIUM,,YES,NO,RSA,10,3,,12
B,STANDALONE,ECDHE,3681579,0,HIGH,NO,NO,YES,RSA,9,3,,1
C,MIX,ECDHE,15235621,0,LOW,NO,YES,,RSA,10,3,,12
B,web,RSA,1677785,986,MEDIUM,NO,NO,,RSA,9,2,NO,5
B,STANDALONE,AES,1408621,3108,LOW,NO,YES,,RSA,9,3,NO,1
A,STANDALONE,DES,11777581,3887,HIGH,YES,YES,,RSA,10,3,,12
C,STANDALONE,ECDHE,5551152,3350,LOW,,YES,NO,RSA,8,3,NO,4
D,web,ECDHE,7484045,1444,LOW,YES,YES,,RSA,10,3,YES,1
D,MIX,RSA,3187254,1209,LOW,NO,NO,,RSA,9,2,,12
B,STANDALONE,RSA,1918722,3577,HIGH,NO,NO,YES,RSA,10,3,,9
A,web,RSA,11908721,3503,LOW,NO,YES,NO,RSA,8,2,,3
A,web,ECDHE,2756763,1949,HIGH,,YES,,RSA,7,3,,1
A,web,ECDHE,11626147,0,LOW,,YES,,RSA,10,3,,4
C,MIX,ECDHE,4886564,1000,HIGH,YES,YES,,RSA,10,2,NO,7
C,STANDALONE,AES,11752795,1215,HIGH,YES,YES,,RSA,10,3,,2
B,STANDALONE,RSA,13494350,0,HIGH,YES,NO,,RSA,10,3,NO,3
A,STANDALONE,RSA,11576163,562,LOW,NO,NO,,RSA,8,3,,1
B,MIX,ECDHE,9386218,1266,LOW,YES,YES,,RSA,10,3,YES,1
A,web,RSA,11406934,533,MEDIUM,YES,YES,,RSA,10,3,NO,1
B,MIX,RSA,9876352,1558,LOW,YES,YES,NO,RSA,10,3,,8
B,web,RSA,13331546,1474,MEDIUM,NO,YES,YES,RSA,10,2,,7
B,STANDALONE,ECDHE,2559819,0,HIGH,YES,NO,,RSA,9,2,,4
